EventID,FiscalYear,CampID,GiftAmt,GiftType,PmtMethod,Registered,DonorConsID,EmailStatus,Goals,Connection,TeamID
28197,2017,44964,50,online,Credit Card,FALSE,9932534,Good,3000,Blank,496315
28197,2017,44964,100,online,Credit Card,FALSE,14481772,Good,3000,None,496315
28197,2017,44964,100,online,Credit Card,FALSE,5798321,Good,3000,Friend has MS,496315
28197,2017,44964,50,offline,Check,FALSE,15393333,Unknown,3000,N/A,496315
28197,2017,44964,35,online,Credit Card,FALSE,15347613,Bad (Hard Bounce),3000,Friend has MS,496315
28197,2017,44964,50,online,Credit Card,FALSE,16014486,Good,3000,N/A,496315
28197,2017,44964,100,online,Credit Card,FALSE,8538406,Good,3000,Blank,496315
28197,2017,44964,50,offline,Check,FALSE,10921032,Good,3000,N/A,496315
28197,2017,44964,100,online,Credit Card,FALSE,15292206,Good,3000,I have MS,496315
28197,2017,44964,100,online,Credit Card,FALSE,14063181,Good,3000,None,496315
28197,2017,44964,200,online,Credit Card,FALSE,16052177,Good,3000,Friend has MS,496315
28197,2017,44964,250,offline,Check,FALSE,15393333,Unknown,3000,N/A,496315
28197,2017,44964,50,online,Credit Card,FALSE,13553692,Bad (Hard Bounce),3000,Friend has MS,496315
28197,2017,44964,50,online,Credit Card,FALSE,16028532,Good,3000,None,496315
28197,2017,44964,50,offline,Check,FALSE,15393333,Unknown,3000,N/A,496315
28197,2017,44964,50,offline,Check,FALSE,8538329,Good,3000,N/A,496315
28197,2017,44964,50,online,Credit Card,FALSE,16052080,Good,3000,N/A,496315
28197,2017,44964,100,online,Credit Card,FALSE,11006585,Good,3000,Blank,496315
28197,2017,44964,100,online,Credit Card,FALSE,5624925,Good,3000,Friend has MS,496315
28197,2017,44964,250,online,Credit Card,FALSE,5736612,Good,3000,Friend has MS,496315
28197,2017,44964,50,offline,Check,FALSE,5820707,Good,3000,N/A,496315
28197,2017,44964,25,online,Credit Card,FALSE,5700898,Unknown,3000,Blank,496315
28197,2017,44964,100,online,Credit Card,FALSE,14503553,Good,3000,Blank,496315
28197,2017,44964,50,online,Credit Card,FALSE,15262645,Good,3000,None,496315
28197,2017,44964,50,online,Credit Card,FALSE,15953681,Good,3000,Other,496315
28197,2017,44964,50,online,Credit Card,FALSE,5613900,Bad (Soft Bounce),3000,Friend has MS,496315
28197,2017,44964,100,online,Credit Card,FALSE,8251757,Unknown,1000,Friend has MS,494962
28197,2017,44964,25,online,Credit Card,FALSE,16168142,Good,1000,Other,494962
28197,2017,44964,10,online,Credit Card,FALSE,15315484,Good,1000,Blank,494962
28197,2017,44964,50,online,Credit Card,FALSE,11195431,Good,1000,None,494962
28197,2017,44964,50,online,Credit Card,FALSE,9715192,Good,1000,None,494962
28197,2017,44964,100,online,Credit Card,TRUE,5619390,Good,1000,None,494962
28197,2017,44964,0,offline,Cash,TRUE,5620493,Good,300,Relative has MS,N/A
28197,2017,44964,50,online,Credit Card,FALSE,5813993,Unknown,500,Blank,494953
28197,2017,44964,36,online,Credit Card,FALSE,5641026,Unknown,500,Blank,494953
28197,2017,44964,18,online,Credit Card,FALSE,12420500,Good,500,Blank,494953
28197,2017,44964,0,online,Credit Card,TRUE,5621221,Good,500,Caregiver of Person with MS,494953
28197,2017,44964,50,online,Credit Card,FALSE,11265264,Good,500,Blank,494953
28197,2017,44964,50,online,Credit Card,FALSE,6562848,Good,500,Blank,494953
28197,2017,44964,35,online,Credit Card,FALSE,6634708,Good,500,Friend has MS,494953
28197,2017,44964,54,online,Credit Card,FALSE,5636992,Unknown,500,Blank,494953
28197,2017,44964,50,online,Credit Card,FALSE,11769379,Good,500,None,494953
28197,2017,44964,50,online,Credit Card,FALSE,16108613,Good,500,Friend has MS,494953
28197,2017,44964,40,online,Credit Card,FALSE,16080427,Good,500,N/A,494953
28197,2017,44964,75,offline,Check,FALSE,5630354,N/A,500,N/A,494953
28197,2017,44964,0,offline,Cash,TRUE,5621534,Good,300,Friend has MS,494941
28197,2017,44964,75,online,Credit Card,FALSE,5820610,Good,300,None,494941
28197,2017,44964,100,online,Credit Card,FALSE,11260096,Good,300,Other,494941
28197,2017,44964,300,online,Credit Card,FALSE,5621534,Good,300,Friend has MS,494941
28197,2017,44964,50,online,Credit Card,FALSE,16119397,Good,300,None,494941
28197,2017,44964,75,online,Credit Card,FALSE,14045132,Good,1000,None,511240
28197,2017,44964,100,online,Credit Card,FALSE,14866546,Good,1000,Relative has MS,511240
28197,2017,44964,35,online,Credit Card,FALSE,16117378,Good,1000,Relative has MS,511240
28197,2017,44964,35,online,Credit Card,FALSE,13370861,Good,1000,Blank,511240
28197,2017,44964,50,online,Credit Card,FALSE,3897786,Good,1000,Friend has MS,511240
28197,2017,44964,50,online,Credit Card,FALSE,5637622,Unknown,1000,None,511240
28197,2017,44964,25,online,Credit Card,FALSE,14105372,Bad (Soft Bounce),1000,Sibling has MS,511240
28197,2017,44964,50,online,Credit Card,FALSE,10620639,Good,1000,Blank,511240
28197,2017,44964,50,online,Credit Card,FALSE,5620991,Good,1000,Blank,511240
28197,2017,44964,25,online,Credit Card,FALSE,5621869,Good,1000,Sibling has MS,511240
28197,2017,44964,300,online,Credit Card,TRUE,5621869,Good,1000,Sibling has MS,511240
